Saanich Plaza Medical Clinic;SL061589;2504751101;;;Y;English;3544;Blanshard;Street;Victoria;V8X 1W3;48.456348;-123.374168;Provides non-emergency health care services on a walk-in basis. Evening hours offered Monday - Sunday. Saturday and Sunday hours also available.;Mon - Sun, 9 a.m. - 8:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Gordon Head Medical Treatment Centre;SL061663;2504774777;;ghtc@telus.net;Y;English;1595;McKenzie;Avenue;Victoria;V8N 1A4;48.468573;-123.333124;Provides non-emergency health care services on a walk-in basis. Evening clinic hours offered Monday - Sunday. Statutory holiday hours also available.;Mon - Sun, statutory holidays, 9 a.m. - 9 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
James Bay Medical Treatment Centre;SL061617;2503889934;;;Y;English;230;Menzies;Street;Victoria;V8V 2G7;48.415986;-123.373591;Provides non-emergency health care services on a walk-in basis. Saturday hours available.;Mon - Fri, 9 a.m. - 6 p.m. Sat, 10 a.m. - 4 p.m. Sun and statutory holidays closed Please note that summer hours are sporadic due to physician availability. Please call to confirm.
Stein Medical Clinic;SL061425;6046885924;http://www.steinmedical.com;;Y;English,French,Spanish,German,Greek;550;Burrard;Street;Vancouver;V6C 2B5;49.285956;-123.11848;Provides non-emergency health care services on a walk-in basis.;Mon - Fri, 8 a.m. - 5:30 p.m.
Downtown Medical Centre;SL061781;2503802210;;;N;English;622;Courtney;Street;Victoria;V8W 1C1;48.42349;-123.366963;Provides non-emergency health care services on a walk-in basis. Services include: testing/diagnostic procedures, preventative care, health referrals, general exams. Includes a family practice.;Mon - Fri, 8 a.m. - 4:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Shelbourne Medical Treatment Centre;SL061587;2505928485;;;N;English;3200;Shelbourne;Street;Victoria;V8P 5G8;48.448582;-123.333229;Provides non-emergency health care services on a walk-in basis. Evening hours offered Monday - Sunday. Saturday, Sunday and statutory holiday hours also available.;Mon - Fri, 8 a.m. - 8:30 p.m. Sat, Sun, Statutory Holidays, 9 a.m. - 8:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Lansdowne Walk-In Clinic;SL065360;2505924212;;landsdowneclinic@shaw.ca;N;English;1641;Hillside;Avenue;Victoria;V8T 5G1;48.445104;-123.334011;Provides non-emergency health care services on a walk-in basis. Evening hours offered Monday - Friday. Saturday and Sunday hours also available.;Mon - Fri, 9 a.m. - 8 p.m. Sat, 9 a.m. - 5 p.m. Sun, 10 a.m. - 2 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Towne Centre Medical Clinic;SL061707;2507688315;http://www.townecentremedicalclinic.ca/;;Y;English;2475;Dobbin;Road;West Kelowna;V4T 2E9;49.828422;-119.630867;Provides non-emergency health care services on a walk-in basis, no appointment necessary. Includes a family practice. Evening clinic hours offered Monday - Friday. Saturday hours also available.;Mon - Fri, 8 a.m. - 7 p.m. Sat, 9 a.m. - 3 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Sea To Sky Walk In Clinic;SL061429;6048985555;;;Y;English;40147;Glenalder;Place;Squamish;V8B 0G2;49.736349;-123.132852;Provides non-emergency health care services on a walk-in basis. All services may not be available, please call to confirm. Evening clinic hours offered Monday - Friday. Saturday, Sunday, and statutory holiday hours are also available.;Mon - Fri, 9 a.m. - 8 p.m.  Sat, Sun, Statutory Holidays, 10 a.m. - 4 p.m.  Hours may vary, please call to confirm.
Khatsahlano Medical Clinics;SL061473;6047319187;http://www.khatsclinic.ca;;N;English;920;Seymour;Street;Vancouver;V6B 3L9;49.279298;-123.120938;Provides non-emergency health care services on a walk-in basis. May offer evening clinic hours Monday - Friday. Saturday, Sunday, and statutory hours may also be available. Please see specific location for details.;Mon - Fri, 8 a.m. - 8 p.m. Sat, 10 a.m. - 4 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Khatsahlano Medical Clinics;SL061467;6047319187;http://www.khatsclinic.ca;;N;English;2685;Broadway;;Vancouver;V6K 2G2;49.264068;-123.166009;Provides non-emergency health care services on a walk-in basis. May offer evening clinic hours Monday - Friday. Saturday, Sunday, and statutory hours may also be available. Please see specific location for details.;Mon - Fri, 8 a.m. - 8:45 p.m. Sat - Sun, 9 a.m. - 8:45 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Khatsahlano Medical Clinics;SL067361;2502209999;;;N;English;230;Cook;Street;Victoria;V8V 3X3;48.413923;-123.356852;Provides non-emergency health care services on a walk-in basis. Saturday and Sunday hours also available.;Mon - Fri, 8 a.m. - 6 p.m. Sat, Sun, 10 a.m. - 4 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Commercial Drive Walk-In Clinic;SL061493;6042555922;;;Y;English;1515;Commercial;Drive;Vancouver;V5L 3Y1;49.271111;-123.069667;Provides non-emergency health care services on a walk-in basis.. Evening clinic hours offered Tuesday and Thursday.;Tue, Thu,  2 p.m. - 8 p.m. Fri, 9 a.m. - 3 p.m.  Hours may vary, please call to confirm.
The Fort St. John Medical Clinic;SL066652;2507856677;www.fsjmedicalclinic.com;;N;English;10011;96;Street;Fort St. John;V1J 3P3;56.246766;-120.840232;Provides non-emergency health care services on a walk-in basis. Saturday hours also available.;Mon - Fri, 8 a.m. - 5 p.m. Sat, 9 a.m. - noon. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Denning Health Group;SL061977;6045724558;http://www.denninghealth.ca;info@denninghealth.ca;N;English,Russian;10153;King George;Boulevard;Surrey;V3T 2W1;49.186983;-122.845564;Provides non-emergency health care services on a walk-in basis. Weekend hours offered.;Opening hours:  Mon - Fri, 8 a.m. Sat/Sun, 9 a.m. Closing hours subject to change or check the website for doctors' schedules.
Whistler Medical Clinic;SL061619;6049323977;;whistlermc@telus.net;Y;;4380;Lorimer;Road;Whistler;V0N 1B4;50.120463;-122.954906;Provides non-emergency health care services on a walk-in basis. Provides referrals to other health services. Weekend clinic hours offered.;Mon - Fri, 8:30 a.m. - 5 p.m. Sat - Sun, 9 a.m. -4 p.m. evening hours vary during the winter months.
University Village Medical and Dental Clinic;SL061639;6042222273;www.universityvillageclinic.com;universityvillageclinic@shaw.ca;N;English;2155;Allison;Road;Vancouver;V6T 1T5;49.266463;-123.242117;Provides general medical and dental services by appointment and on a walk-in basis. Saturday clinic hours offered.;Mon - Fri, 8 a.m. - 6 p.m. Sat, 11 a.m. - 4 p.m.
Yaletown Medical Clinic;SL061653;6046332474;http://www.yaletownmedicalclinic.ca;;Y;English;1296;Pacific;Boulevard;Vancouver;V6Z 2V1;49.273447;-123.12342;Provides general medical services on a walk-in basis. Services include counselling, dietician services, acupuncture and wellness packages. Evening clinic hours offered Monday - Friday. Weekend and statutory holiday hours also available.;Mon - Fri, 9 a.m. - 9 p.m. Sat, Sun, Statutory Holidays, 10 a.m. - 6 p.m.
Granville Medical Clinic;SL061657;6047334700;http://www.granvillemedical.ca;;Y;English;2578;Granville;Street;Vancouver;V6H 3G8;49.262912;-123.138565;Provides general medical examinations and walk-in clinic services. Evening clinic hours offered Monday - Friday. Saturday and Sunday hours also available.;Mon - Fri,  8 a.m. - 8 p.m. Sat, Sun, 10 a.m. - 4 p.m.
Kits Medical Clinic;SL061665;6047372699;;;Y;English;2678;Broadway;;Vancouver;V6K 2G3;49.263958;-123.165712;Provides non-emergency health care services on a walk-in basis. Appointments are preferred, but not required.;Mon - Thu, 9 a.m. - 5 p.m.
Park Royal Village Medical Centre;SL062255;6049227372;;;N;English;925;Main;Street;West Vancouver;V7T 2Z3;49.325187;-123.142718;Provides non-emergency health care services on a walk-in basis, no appointment is necessary. Evening clinic hours offered Monday - Friday. Saturday and Sunday hours also available.;Mon - Fri, 9 a.m. - 9 p.m. Sat, 9 a.m. - 5 p.m. Sun, 10 a.m. - 4 p.m.
Gitsegukla Health Centre;SL061545;2508495231;;;N;English;162;Howe;Street;Hazelton;V0J 2R0;55.233333;-127.666667;Provides non-emergency health care services on a walk-in basis.;Mon - Fri, 9 a.m. - 5 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Lax Kw'alaams Band;SL063025;2506253331;;;Y;English;1602;Legaic;Street;Laxkwalaams;V0V 1H0;54.548708;-130.438013;Provides non-emergency health care services on a walk-in basis. After hours emergency care also available.;Mon - Fri, 8:30 - noon 1 p.m. - 4 p.m. After hours emergency care also available. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Kitkatla Band Council;SL062773;2508482254;;hdkns@gitxaalanation.com;N;English;120;View;Street;Kitkatla;V0V 1C0;53.794162;-130.432456;Provides non-emergency health care services on a walk-in basis to the community of Kitkatla. Services include maternal/infant care, reproductive health, preventative care, and general exams.;Mon - Fri, 8:30 a.m. - noon 1 p.m. - 4:30 p.m.  Nurses: Mon - Fri, 8:30 a.m.- 5 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Tl'azt'en Nation;SL062469;2506483350;;tlazten@tlazten.bc.ca;Y;English;4676;Tl'azt'en Main;Road;Fort St. James;V0J 1P0;54.444841;-124.254341;Provides non-emergency health care services on a walk-in basis.;Mon - Thu, 8 a.m. - 4 p.m. Bi-weekly Fri, 8 a.m. - 3:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Old Masset Village Council;SL061571;2506263911;;;Y;English;347;Eagle;Street;Masset;V0T 1M0;54.033859;-132.17507;Provides non-emergency health care services on a walk-in basis.;Mon - Fri, 8:30 a.m. - 4:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Saik'uz First Nation;SL062785;2505679773;;;N;English;135;Joseph;Street;Stoney Creek;V0J 3A1;54.029957;-124.009552;Provides non-emergency health care services on a walk-in basis to the Stoney Creek First Nations Village. Services includes prenatal care, preventative care, and general exams.;Wed - Fri, 8:30 a.m. -noon 12:30 p.m. - 4 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Southside Health and Wellness Centre Society;SL060571;2506943270;http://www.southsidewellness.ca;info@southsidewellness.ca;Y;English;27920;Wellness;Way;Burns Lake;V0J 1E2;54.229167;-125.7625;Provides non-emergency health care services on a walk-in basis. Booked appointments are also available.;Mon - Fri, 8:30 a.m. - 4:30 p.m. closed from noon - 1 p.m. closed Sat, Sun, and stat holidays. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to closing time.
Seabird Island Indian Band;SL068459;6047962165;http://www.seabirdisland.ca/page/doctors-office;;Y;English;2895;Chowat;Road;Agassiz;V0M 1A0;49.255136;-121.73034;Provides primary health care services to the large First Nations population in the Fraser Valley.;Appointments available Mon - Fri.  Walk-in clinic, Tue, 1 p.m. - 4 p.m.
Vancouver Native Health Society (VNHS);SL056475;6042559766;http://www.vnhs.net;clinic@vnhs.net;Y;English;449;Hastings;Street;Vancouver;V6A 1P5;49.281238;-123.09433;Provides health care services on a first-come, first-served basis for residents of the downtown eastside and Aboriginal People from anywhere. Evening clinic hours offered Monday - Thursday. Saturday and Sunday hours also available.;Mon - Thu, 9:30 a.m. - 8:30 p.m. Fri - Sun, 9:30 a.m. - 5 p.m. Closed Statutory Holidays.
Victoria Youth Clinic;SL060695;2503833552;;;N;English;533;Yates;Street;Victoria;V8W 1K7;48.426827;-123.369298;Provides a confidential free health care service for youth 12 to 24 years. The Yates Street clinic offers evening hours Monday and Wednesday. Michigan Street clinic offers evening hours Tuesday and Thursday.;Mon and Wed, 3 p.m. - 7 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Victoria Youth Clinic;SL060689;2503887841;http://www.victoriayouthclinic.ca/;office@victoriayouthclinic.ca;N;English;547;Michigan;Street;Victoria;V8V 1S5;48.417044;-123.370756;Provides a confidential free health care service for youth 12 to 24 years. The Yates Street clinic offers evening hours Monday and Wednesday. Michigan Street clinic offers evening hours Tuesday and Thursday.;Tue, Thu, 3 p.m. - 8 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
ABC Medical Clinic;SL060367;2507821220;;;Y;English;9842;101;Avenue;Fort St. John;V1J 2B2;56.247559;-120.845189;Provides non-emergency health care services on a walk-in basis. Saturday hours also available. Includes a family practice.;Mon - Fri, 9 a.m. - 11 a.m., 1 p.m. - 4 p.m. Sat, 9 a.m. - noon. Hours subject to physician availability and patient volume.
Atlin Health Centre;SL060375;2506517677;;;Y;English;;3rd;Street;Atlin;V0W 1A0;59.571723;-133.68988;Provides non-emergency health care services on a walk-in basis.;Mon - Fri, 8:30 a.m. - Noon, 1 p.m. - 4:30 p.m. Emergency contact available by phone after hours. Note hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Nechako Medical Clinic;SL060387;2505633399;;;N;English;761;Central;Street;Prince George;V2M 3C6;53.919256;-122.782207;Provides non-emergency health care services on a walk-in basis. Evening clinic hours offered Monday - Sunday. Saturday, Sunday and statutory holiday hours also available.;Mon - Thu,  4 p.m. - 9 p.m. Fri, 1 p.m. - 9 p.m. Sat, 9 a.m. - 7 p.m. Sun, 10 a.m. - 7 p.m.  Stat Holidays, 10 a.m. - 7 p.m. hours are subject to physician availability and patient volume.
Masset Medical Clinic;SL060391;2506264727;;hello@northernhealth.ca;Y;English;2520;Harrison;Avenue;Masset;V0T 1M0;54.012317;-132.151708;Provides non-emergency health care services on a walk-in basis.;Mon, Tue, Thu, Fri, 9:30 a.m. - 11 a.m.,1:30 p.m. - 3:30 p.m. Wed, 1:30 p.m. - 3:30 p.m. Hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Sandspit Medical Clinic;SL060409;2506375403;;;N;English;406;School;Road;Sandspit;V0T 1T0;53.243312;-131.817065;Provides medical services from a registered nurse on a walk-in basis with weekly 4 hour visits from a physician.;Mon, Tues, Thu, Fri, 9 a.m. - 5 p.m. Please note that hours are subject to physician availability and patient volume. Station may stop accepting patients prior to the listed closing time.
Moricetown Band Office;SL062503;2508479328;http://www.moricetown.ca;juanita.nikal@moricetown.ca;Y;English;204;Beaver;Road;Smithers;V0J 2N1;55.040862;-127.336847;Provides non-emergency health care services on a walk-in basis. Services include Influenza, HIV and Hepatitis testing, general health examinations, and referrals. Vaccinations  are also available by appointment.;Mon - Fri, 8:30 a.m. - 4:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Tahltan Health and Social Services Authority;SL061325;2507715577;;;N;English;;;;Dease Lake;V0C 1L0;58.43741;-129.999378;Provides non-emergency health care services on a walk-in basis.;Mon - Fri, 8:30 a.m. - 3:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Tahltan Health and Social Services Authority;SL061327;2507715577;;;N;English;24;Sawtooth;Road;Telegraph Creek;V0J 2W0;57.903448;-131.159248;Provides non-emergency health care services on a walk-in basis.;Mon - Fri, 8:30 a.m. - 4:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Spall Medical Centre;SL061703;2508609909;;;N;English;1940;Harvey;Avenue;Kelowna;V1Y 8J8;49.882804;-119.453794;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening clinic hours offered Monday - Friday. Saturday and statutory holiday hours also available.;Mon - Fri, 8:30 a.m. - 7 p.m. Sat, statutory holidays, 9 a.m. - 2 p.m. Closed on Sundays. Please note that walk-in hours are subject to physician availability and patient volume.
Kamloops Urgent Care Clinic;SL061637;2503714905;;;N;English;910;Columbia;Street;Kamloops;V2C 1L2;50.669103;-120.356233;Provides non-emergency health care services on a walk-in basis. Saturday, Sunday, and statutory holiday clinic hours also offered.;Mon - Fri, 9 a.m. - 5 p.m. Sat, Sun, statutory holidays 9 a.m. - 1 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Apple Plaza Walk-In Clinic;SL061607;2504935228;http://appleplazawalkinclinic.com;;Y;English;1848;Main;Street;Penticton;V2A 5H3;49.478033;-119.583924;Provides non-emergency health care services on a walk-in basis. Saturday, Sunday and statutory holiday hours also available.;Mon - Fri, 9 a.m. - 6 p.m. Sat, Sun, statutory holidays, 10 a.m. - 4 p.m. Please note that hours are subject to physician availability and patient volume.
Alder Medical Centre;SL061393;2502877441;;;N;English;277;Evergreen;Road;Campbell River;V9W 5Y4;50.007502;-125.241145;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening hours offered Monday - Thursday. Saturday hours also available.;Mon - Thu, 8:30 a.m. - 7:45 p.m. Sat, 10 a.m. - 1:45 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Willowpoint Medical Clinic;SL061423;7784200770;;;Y;English;1424;Island;Highway;Campbell River;V9W 8C9;50.03446;-125.254658;Provides non-emergency health care services on a walk-in basis. Evening hours Monday - Friday. Saturday, Sunday and statutory holiday hours also available.;Mon - Fri, 8 a.m. - 9 p.m. Sat, Sun, Statutory Holidays, 9 a.m. - 7 p.m. Closed Christmas and New Year's day Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to th
Medi-Kel;SL061677;2508624996;http://www.medi-kel.com;info@medi-kel.com;Y;English;2280;Baron;Road;Kelowna;V1X 7W3;49.881085;-119.432217;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening clinic hours offered Monday - Friday. Saturday and Sunday hours also offered. Statutory holiday hours may be available.;Mon - Fri, 8:30 a.m. - 8 p.m. Sat - Sun, 10 a.m. - 4 p.m. Call for holiday hours. Due to unforeseen emergencies, the clinic may be cancelled without notice, please call to confirm.
Mission Medical Centre;SL061681;2508688222;;missionmedicalcentre@shaw.ca;Y;English;3320;Richter;Street;Kelowna;V1W 4V5;49.855356;-119.489935;Provides non-emergency health care services on a walk-in basis. Evening clinic hours offered Monday - Friday. Saturday, Sunday and statutory holiday hours also available.;Mon - Thu, 9 a.m. - 8 p.m. Fri, Sat, 9 a.m. - 5 p.m. Sun, 10 a.m. - 2 p.m. Statutory holidays 10 a.m. - 5 p.m. Closed Christmas Day. Clinic hours may vary due to patient volume and physicians' availability.
Mount Ida Medical Centre;SL061683;2508331990;;;Y;English,Afrikaans,German;200;Trans Canada;Highway;Salmon Arm;V1E 4P6;50.699561;-119.287604;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening clinic hours offered Monday - Friday. Saturday hours also available.;Mon - Fri, 9 a.m. - 7 p.m. Sat, 10 a.m. - 2 p.m. Closed Sunday and statutory holidays. Please note that clinic hours may vary due to patient volume and physicians' availability.
Orchard Medical Centre;SL062001;2508613235;;;Y;English;1990;Cooper;Road;Kelowna;V1Y 8K5;49.877565;-119.443356;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening clinic hours offered Monday - Friday. Saturday, Sunday, and statutory holiday hours also available.;Mon - Fri, 8 a.m. - 8 p.m. Sat, Sun and statutory holidays, 9 a.m. - 3 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Rutland Walk-in Clinic;SL061689;2508625915;;;Y;English;590;33;Highway;Kelowna;V1X 6A8;49.888568;-119.375518;Provides non-emergency health care services on a walk-in basis. Evening clinic hours offered Monday - Friday. Saturday, Sunday, and statutory holiday hours also available.;Mon - Fri, 9 a.m. - 8 p.m. Sat, 9 a.m. - 6 p.m Sun and statutory holidays 10 a.m. - 6 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to closing time.
North Okanagan Medical Clinic;SL061685;2505458338;;;N;English;5001;Anderson;Way;Vernon;V1T 9V1;50.28729;-119.270357;Provides non-emergency health care services on a walk-in basis.  Evening clinic hours offered every day of the week. Statutory holiday hours also available.;Mon - Sun 9 a.m. - 9 p.m. Statutory holidays, call for hours. Please note that hours are subject to physician availability and patient volume.
Esquimalt Treatment Centre;SL061469;2503824296;;;Y;English;918;Esquimalt;Road;Esquimalt;V9A 3M6;48.430075;-123.401585;Provides non-emergency health care services on a walk-in basis.;Mon - Fri, 8 a.m. - 4:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Oak Bay Medical Clinic;SL061487;2505986744;;;Y;English;1640;Oak Bay;Avenue;Victoria;V8R 1B2;48.426478;-123.334374;Provides non-emergency health care services on a walk-in basis. Evening hours offered Monday - Friday. Saturday, Sunday and statutory holiday hours also available. Includes a family practice on a booked appointment basis.;Mon - Fri, 8 a.m. - 8 p.m. Sat, Sun, statutory holidays, 8 a.m. - noon Family practice by appointment only Please note that hours are subject to physician availability and patient volume.
Westside Integrated Health Centre;SL066673;2504188878;;;Y;English;180;Wilson;Street;Victoria;V9A 7N6;48.432654;-123.381659;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening hours offered Monday - Friday. Saturday, Sunday and statutory holiday hours also available.;Mon - Fri, 8:30 a.m. - 8 p.m. Sat, Sun, and holidays, 9 a.m. - 3 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
West Kelowna Walk-In and Family Practice;SL061713;2507686985;;;Y;English;2231;Louie;Drive;West Kelowna;V4T 3K3;49.841992;-119.610073;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening clinic hours offered Monday - Friday. Saturday, Sunday and statutory holiday hours also available.;Mon - Thu, 9 a.m. - 8 p.m. Fri, 9 a.m. - 7 pm. Sat, 9 a.m. - 3 p.m. Sun, statutory holidays, 10 a.m. - 5 p.m. Please note that clinic hours may vary due to patient volume and physicians availability.
Yates and Quadra Integrated Health Centre;SL061501;2503883080;;;N;English;911;Yates;Street;Victoria;V8V 4Y9;48.42563;-123.358744;Provides non-emergency health care services on a walk-in basis.;Schedule changes weekly please call for office hours.
Coach House Square Medical Walk-in Clinic;SL061675;2503951143;;;Y;English;95 B;97;Highway;100 Mile House;V0K 2E0;51.673407;-121.297302;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Saturday hours also available.;Mon - Fri, 9:30 a.m. - 5:30 p.m. Sat, 10 a.m. - 1 p.m. Sun, statutory holidays closed. Please note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients prior to closing time.
Caledonian Clinic;SL072923;2503905200;;;Y;;6010;Brickyard;Road;Nanaimo;V9V 1S5;49.234503;-124.026347;Provides non-emergency health care services on a walk-in basis. May offer evening clinic hours Monday - Friday. May also offer Saturday, Sunday and statutory holiday hours. Please see specific location for details.;Medical Clinic Hours: Mon - Fri, 8:30 a.m. - 5 p.m. Walk In Clinic Hours: Mon - Fri, 5 p.m. - 7 p.m. Medical and Walk in Clinic Hours: Sat and Sun, 9 a.m. - 1 p.m. Closed on Statutory Holidays.
Caledonian Clinic;SL061529;2507533202;;;Y;;340;Campbell;Street;Nanaimo;V9R 3G7;49.168455;-123.942254;Provides non-emergency health care services on a walk-in basis. May offer evening clinic hours Monday - Friday. May also offer Saturday, Sunday and statutory holiday hours. Please see specific location for details.;Medical Clinic Hours: Mon - Fri, 8:30 a.m. - 5 p.m. Walk In Clinic Hours: Mon - Fri, 5 p.m. - 7 p.m. Medical and Walk in Clinic Hours: Sat, Sun and Statutory Holidays, 9 a.m. - 5 p.m.
